2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:08.7093–TRACE–2023/11/15 17:28:08:7128| 0| COM88| S | CommandID     68| FA52020402
2023-11-15 17:28:08.7380–TRACE–2023/11/15 17:28:08:7379| 0| COM88| R | CommandID     68| FA020400870D0A
2023-11-15 17:28:08.7380–TRACE–2023/11/15 17:28:08:7430| 0| COM88| S | CommandID     69| FA52030402
2023-11-15 17:28:08.7854–TRACE–2023/11/15 17:28:08:7854| 0| COM88| R | CommandID     69| FA030400850D0A
2023-11-15 17:28:08.7854–TRACE–2023/11/15 17:28:08:7899| 0| COM88| S | CommandID     70| FA52010403
2023-11-15 17:28:08.8182–TRACE–2023/11/15 17:28:08:8182| 0| COM88| R | CommandID     70| FA01054559550D0A
2023-11-15 17:28:08.8182–TRACE–2023/11/15 17:28:08:8246| 0| COM88| S | CommandID     71| FA52020403
2023-11-15 17:28:08.8495–TRACE–2023/11/15 17:28:08:8495| 0| COM88| R | CommandID     71| FA02054157550D0A
2023-11-15 17:28:08.8583–TRACE–2023/11/15 17:28:08:8583| 0| COM88| S | CommandID     72| FA52030403
2023-11-15 17:28:08.8770–TRACE–2023/11/15 17:28:08:8770| 0| COM88| R | CommandID     72| FA03054557550D0A
2023-11-15 17:28:08.8770–TRACE–2023/11/15 17:28:08:8828| 0| COM88| S | CommandID     73| FA52010404
2023-11-15 17:28:08.9050–TRACE–2023/11/15 17:28:08:9050| 0| COM88| R | CommandID     73| FA01034B0D0A
2023-11-15 17:28:08.9050–TRACE–2023/11/15 17:28:08:9100| 0| COM88| S | CommandID     74| FA52020404
2023-11-15 17:28:08.9272–TRACE–2023/11/15 17:28:08:9272| 0| COM88| R | CommandID     74| FA02034B0D0A
2023-11-15 17:28:08.9272–TRACE–2023/11/15 17:28:08:9334| 0| COM88| S | CommandID     75| FA52030404
2023-11-15 17:28:08.9591–TRACE–2023/11/15 17:28:08:9591| 0| COM88| R | CommandID     75| FA03034B0D0A
2023-11-15 17:28:08.9591–TRACE–2023/11/15 17:28:08:9667| 0| COM88| S | CommandID     76| FA52010405
2023-11-15 17:28:08.9939–TRACE–2023/11/15 17:28:08:9938| 0| COM88| R | CommandID     76| FA01040C4A0D0A
2023-11-15 17:28:09.0005–TRACE–2023/11/15 17:28:09:0005| 0| COM88| S | CommandID     77| FA52020405
2023-11-15 17:28:09.0159–TRACE–2023/11/15 17:28:09:0159| 0| COM88| R | CommandID     77| FA02042D0F0D0A
2023-11-15 17:28:09.0159–TRACE–2023/11/15 17:28:09:0211| 0| COM88| S | CommandID     78| FA52030405
2023-11-15 17:28:09.0490–TRACE–2023/11/15 17:28:09:0490| 0| COM88| R | CommandID     78| FA03041A3B0D0A
2023-11-15 17:28:09.0490–TRACE–2023/11/15 17:28:09:0541| 0| COM88| S | CommandID     79| FA52010501
2023-11-15 17:28:09.0797–TRACE–2023/11/15 17:28:09:0797| 0| COM88| R | CommandID     79| FA010401180D0A
2023-11-15 17:28:09.1050–TRACE–2023/11/15 17:28:09:1050| 0| COM88| S | CommandID     80| FA52030501
2023-11-15 17:28:09.1312–TRACE–2023/11/15 17:28:09:1312| 0| COM88| R | CommandID     80| FA0304012C0D0A
2023-11-15 17:28:09.1312–TRACE–2023/11/15 17:28:09:1367| 0| COM88| S | CommandID     81| FA52020501
2023-11-15 17:28:09.1643–TRACE–2023/11/15 17:28:09:1643| 0| COM88| R | CommandID     81| FA020401200D0A
