*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/29 11:54:45:3172,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:45:4559,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:46:3864,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:46:5281,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:46:6806,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:48:3673,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:48:4782,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:48:5987,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:49:5678,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:49:6983,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:49:8313,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:51:5508,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:51:6935,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:51:8234,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:52:7731,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:52:9299,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:53:0698,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:54:8114,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:54:9455,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:55:0802,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:56:0805,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:56:2202,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:56:3567,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:57:9832,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:58:1100,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:58:2336,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:59:1907,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:59:3273,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:59:4849,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:55:01:1677,,,,NULL,FA 52 01 04 01,
2023/12/29 11:55:01:3040,,,,NULL,FA 52 02 04 01,
2023/12/29 11:55:01:4399,,,,NULL,FA 52 03 04 01,
2023/12/29 11:55:02:4872,,,,NULL,FA 52 01 06 01,
2023/12/29 11:55:02:6356,,,,NULL,FA 52 02 06 01,
2023/12/29 11:55:02:7928,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:55:04:3767,,,,NULL,FA 52 01 04 01,
2023/12/29 11:55:04:5132,,,,NULL,FA 52 02 04 01,
2023/12/29 11:55:04:6817,,,,NULL,FA 52 03 04 01,
2023/12/29 11:55:05:6996,,,,NULL,FA 52 01 06 01,
2023/12/29 11:55:05:8552,,,,NULL,FA 52 02 06 01,
2023/12/29 11:55:06:0004,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:55:07:5980,,,,NULL,FA 52 01 04 01,
2023/12/29 11:55:07:7406,,,,NULL,FA 52 02 04 01,
2023/12/29 11:55:07:8877,,,,NULL,FA 52 03 04 01,
2023/12/29 11:55:08:8937,,,,NULL,FA 52 01 06 01,
2023/12/29 11:55:09:0353,,,,NULL,FA 52 02 06 01,
2023/12/29 11:55:09:1563,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:55:10:6977,,,,NULL,FA 52 01 04 01,
2023/12/29 11:55:10:8332,,,,NULL,FA 52 02 04 01,
2023/12/29 11:55:10:9649,,,,NULL,FA 52 03 04 01,
2023/12/29 11:55:11:7857,,,,NULL,FA 52 01 06 01,
2023/12/29 11:55:11:9396,,,,NULL,FA 52 02 06 01,
2023/12/29 11:55:12:0602,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:55:13:8561,,,,NULL,FA 52 01 04 01,
2023/12/29 11:55:13:9923,,,,NULL,FA 52 02 04 01,
